PROD_TYPE,REF_NO,PB_CODE,SCHED_PD,SCHD_OBSERVATION_DATE,SCHD_PAYMENT_DATE,IS_CALLED,SETTLE_TYPE,SETTLE_CURR,INVEST_PAY_AMT,COUPON_AMT
KIKO,KIKO/16/PBMY0676,T_AI_129_12,1,20161213,20161216,TRUE,Cash,MYR,22000000,17800
KIKO,KIKO/16/PBMY0677,T_AI_129_12,1,20161213,20161216,FALSE,Cash,MYR,24000000,17800
KIKO,KIKO/16/PBMY0682,T_AI_129_12,1,20161213,20161216,TRUE,Cash,MYR,34000000,17800
KIKO,KIKO/16/PBMY0683,T_AI_129_12,1,20161213,20161216,FALSE,Cash,MYR,36000000,17800
KIKO,KIKO/16/PBMY0688,T_AI_129_12,1,20161213,20161216,TRUE,Cash,MYR,46000000,17800
KIKO,KIKO/16/PBMY0689,T_AI_129_12,1,20161213,20161216,FALSE,Cash,MYR,48000000,17800
KIKO,KIKO/16/PBMY0694,T_AI_129_12,1,20161213,20161216,TRUE,Cash,MYR,58000000,17800
KIKO,KIKO/16/PBMY0695,T_AI_129_12,1,20161213,20161216,FALSE,Cash,MYR,60000000,17800
KIKO,KIKO/16/PBMY0700,T_AI_129_12,1,20161213,20161216,TRUE,Cash,MYR,70000000,17800
KIKO,KIKO/16/PBMY0701,T_AI_129_12,1,20161213,20161216,FALSE,Cash,MYR,72000000,17800
KIKO,KIKO/16/PBMY0706,T_AI_129_12,1,20161213,20161216,TRUE,Cash,MYR,82000000,17800
KIKO,KIKO/16/PBMY0707,T_AI_129_12,1,20161213,20161216,FALSE,Cash,MYR,84000000,17800
